ABC,MCMC,SMC
0.233671,0.477315,0.345049
0.23287,0.442136,0.381831
0.384553,0.438522,0.4444
0.899892,0.439976,0.469386
0.24369,0.457641,0.385939
0.357805,0.474348,0.353071
0.315573,0.435968,0.348297
0.544357,0.457484,0.346492
0.400064,0.429918,0.369095
0.33802,0.445705,0.34958
0.236707,0.458147,0.359333
0.27754,0.432768,0.340119
0.248997,0.436261,0.363627
0.275436,0.444635,0.366946
0.358822,0.44046,0.344697
0.256693,0.438339,0.33987
0.248772,0.436368,0.333366
0.453342,0.429708,0.369514
0.293842,0.461026,0.344282
0.497412,0.436197,0.345255
0.308726,0.458167,0.343597
0.230936,0.439287,0.340888
0.41483,0.432219,0.387918
0.346035,0.431058,0.354216
0.188655,0.472105,0.343399
0.38558,0.440848,0.344275
0.328745,0.434022,0.333361
0.322174,0.442026,0.350381
0.415741,0.465031,0.343856
0.242944,0.467624,0.351776
0.18819,0.434138,0.377324
0.548498,0.443063,0.366436
0.35509,0.431532,0.389174
0.416089,0.433951,0.331954
0.671647,0.439764,0.340445
0.251442,0.431092,0.332875
0.378531,0.464653,0.3657
0.343535,0.430651,0.382425
0.686178,0.436641,0.439591
0.264393,0.491387,0.378782
0.307071,0.456046,0.3833
0.228789,0.440477,0.380087
0.279899,0.43423,0.3797
0.37642,0.455789,0.423237
0.294266,0.443447,0.346424
0.271293,0.433007,0.336866
1.492631,0.435917,0.338044
0.475949,0.440577,0.374021
0.188754,0.444368,0.345194
0.539076,0.475677,0.36432
0.282876,0.488188,0.344624
0.435974,0.445836,0.345617
0.630118,0.473803,0.356998
0.373111,0.445978,0.391989
0.260806,0.464008,0.340555
0.255235,0.462607,0.357373
0.239924,0.443887,0.34145
0.360739,0.440585,0.345805
0.240248,0.456874,0.351447
0.35816,0.47447,0.358834
0.233647,0.450313,0.341005
0.289483,0.451484,0.34049
0.479245,0.487611,0.366341
0.588748,0.434221,0.378012
0.270891,0.433727,0.367788
0.383666,0.43684,0.353918
0.281871,0.445435,0.330332
0.425458,0.452026,0.347702
0.546239,0.468876,0.375478
0.255058,0.46982,0.38709
0.397167,0.43863,0.336187
0.261745,0.442515,0.358406
0.425154,0.451564,0.364647
0.824335,0.460906,0.385279
0.427711,0.44193,0.364505
0.529294,0.461283,0.412661
0.380428,0.444964,0.354629
0.317956,0.438606,0.351375
0.312496,0.445699,0.362891
0.315095,0.445975,0.378585
0.488465,0.473996,0.347092
0.2214,0.49994,0.335778
0.39019,0.427617,0.333583
0.823576,0.442072,0.466573
0.223913,0.463937,0.355763
0.254609,0.450893,0.359115
0.244855,0.4488,0.360415
0.447575,0.475452,0.344369
0.560822,0.453299,0.414275
0.359792,0.504556,0.48646
0.332928,0.454163,0.331295
0.282396,0.431266,0.341815
0.267089,0.435435,0.333711
0.518378,0.437317,0.384874
0.560685,0.455468,0.375817
1.631805,0.431063,0.399297
0.246469,0.435924,0.352336
0.223606,0.516771,0.358202
0.326187,0.432398,0.343126
1.731799,0.452385,0.400783
0.333021,0.48921,0.359119
0.485052,0.482142,0.399231
0.438681,0.456256,0.443663
0.224517,0.476216,0.368222
0.355699,0.442575,0.399565
0.229899,0.445654,0.426706
0.214643,0.457614,0.3577
0.23766,0.481365,0.372725
0.284212,0.428805,0.388976
0.321421,0.441859,0.368484
0.27148,0.45435,0.340932
0.344531,0.591484,0.361374
0.264625,0.442536,0.340814
0.467532,0.443065,0.37296
0.377542,0.445715,0.36479
0.556463,0.499152,0.373569
0.468611,0.435142,0.3361
0.357747,0.442708,0.365381
0.386808,0.459128,0.407727
0.28703,0.459166,0.408337
1.17815,0.455304,0.353849
0.541803,0.464349,0.341283
0.338689,0.458903,0.340196
0.246057,0.481748,0.3614
0.254756,0.466567,0.353365
